Name,m1,m2,m3,m4,m5,m6,m7,m8,total
DKOCK,121,75,56,99,10,19,33,42,455
ROHIT,46,3,63,20,96,22,107,18,375
SURYA,23,79,106,37,32,2,59,23,361
ISHAAN,4,38,2,48,35,131,0,0,258
HARDIK,30,2,46,46,41,21,50,22,258
POLLARD,12,16,39,43,62,101,51,25,349
KRUNAL,6,76,14,55,29,4,5,30,219
NILE,23,-2,56,54,54,-2,54,50,287
BOULT,29,35,54,54,33,54,62,29,350
BUMRAH,31,4,114,50,58,0,54,30,341
CHAHAR,58,10,29,12,54,29,54,37,283
RAHUL,100,92,13,84,22,98,180,49,638
MAYANK,59,76,14,33,32,158,42,124,538
POORAN,20,36,116,44,55,44,22,8,345
MAXWELL,4,24,17,16,13,17,36,5,132
JORDAN,37,2,0,-2,0,0,0,19,56
SHAMI,48,35,27,2,41,81,33,93,360
ASHWIN,56,0,0,0,0,29,79,0,164
BISHNOI,2,29,84,4,3,4,95,31,252
ARSHDEEP,27,37,70,0,0,0,0,0,134
GAYLE,76,,,,,,,,76
HOODA,12,,,,,,,,12
GOWTHAM,0,0,0,0,49,0,0,31,80
MANDEEP,0,8,10,35,0,0,0,0,53
