Name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,total,MEAN,STANDARD,MEDIAN,Avg,VALUE,POS,TEAM,POINTS,FREQ
RAHUL,57,52,51,30,102,100,92,13,84,22,98,180,49,930,62.125,30.85221831570625,54.5,46.4886091578531,8.5,WK,PBKS,142.0,322.0
MAYANK,0,0,0,25,24,59,76,14,33,32,158,42,124,587,39.6,23.72003372678884,25.0,31.6600168633944,10.0,BAT,PBKS,20.0,500.0
POORAN,40,14,46,77,42,20,36,116,44,55,44,22,8,564,48.875,30.91697551507909,41.0,39.8959877575395,9.5,WK,PBKS,2.0,32.0
GAYLE,133,83,28,40,33,76,0,0,0,0,0,0,0,393,65.5,36.709444742917775,58.0,51.1047223714589,8.5,BAT,PBKS,58.0,450.0
HOODA,13,4,2,18,38,12,0,0,0,0,0,0,0,87,14.5,11.828637565952668,12.5,13.1643187829763,8.5,ALL,PBKS,114.0,442.0
MASHWIN,25,37,41,29,18,56,0,0,0,0,29,79,0,314,34.333333333333336,12.27010821287064,33.0,23.301720773102,9.0,BOWL,PBKS,2.0,200.0
JORDAN,23,54,106,0,40,37,2,0,-2,0,0,0,19,279,43.66666666666666,32.18004902972579,38.5,37.9233578481962,9.0,BOWL,PBKS,0.0,182.0
SHAMI,-2,79,29,54,54,48,35,27,2,41,81,33,93,574,40.5,22.511108368980857,41.5,31.5055541844904,8.5,BOWL,PBKS,62.0,277.0
BISHNOI,4,64,47,4,31,2,29,84,4,3,4,95,31,402,33.125,28.330361363738373,30.0,30.7276806818692,9.0,BOWL,PBKS,0.0,182.0
ARSHDEEP,-2,2,81,2,48,27,37,70,0,0,0,0,0,265,33.125,29.78438139360964,32.0,31.4546906968048,8.5,BOWL,PBKS,91.0,372.0
MANDEEP,2,90,30,0,0,0,8,10,35,0,0,0,0,175,28.0,32.397530770106535,10.0,30.1987653850533,8.0,BAT,PBKS,0.0,61.0
BUTTLER,31,4,13,109,31,31,29,27,104,31,38,8,0,408,34.375,29.71925932791731,30.0,32.0471296639587,9.0,WK,RR,40.0,94.0
SAMSON,62,76,45,16,15,33,41,9,10,9,21,123,145,422,37.125,22.2229470367906,37.0,29.6739735183953,9.5,WK,RR,179.0,494.0
STOKES,132,163,38,24,29,45,10,0,0,0,0,0,0,108,63.0,55.02726596879042,38.0,59.0136329843952,9.0,ALL,RR,10.0,286.0
TEWATIA,20,4,6,41,59,27,65,98,18,34,45,79,88,554,40.0,30.35621847332108,34.0,35.1781092366605,9.0,ALL,RR,8.0,279.0
PARAG,4,4,28,4,4,5,52,0,0,21,13,2,11,112,14.428571428571429,17.40161850319137,4.0,15.9150949658814,9.0,BAT,RR,75.0,491.0
DUBE,40,18,25,32,77,5,9,40,11,10,7,73,93,357,30.75,21.34098170188054,28.5,26.0454908509403,8.5,ALL,RR,34.0,243.0
MORRIS,39,19,27,8,62,49,25,0,0,22,6,15,9,196,32.714285714285715,17.127373960286796,27.0,24.9208298372863,8.0,ALL,RR,62.0,274.0
ARCHER,54,62,75,37,2,100,35,91,58,52,74,15,64,528,57.0,30.14962686336267,58.0,43.5748134316813,8.5,BOWL,RR,0.0,113.0
GOPAL,4,54,4,35,29,36,4,0,63,29,5,8,27,236,23.714285714285715,18.47557681847877,29.0,21.0949312663822,8.5,BOWL,RR,-2.0,108.0
UNADKAT,0,0,0,0,-2,50,29,0,0,0,46,2,0,125,25.666666666666668,21.35935912480106,29.0,23.5130128957339,8.0,BOWL,RR,0.0,49.0
TYAGI,4,23,-2,29,29,45,27,31,27,0,0,0,0,188,23.25,14.236836024903848,28.0,18.7434180124519,8.0,BOWL,RR,0.0,49.0
